month	gap_months	min_hamming	variant_size
24241	1	1	2
24241	1	1	2
24241	1	1	2
24241	1	1	2
24241	1	1	1
24241	1	1	2
24241	1	1	1
24241	1	1	2
24241	1	1	2
24241	1	2	3
24241	1	1	2
24241	1	1	2
24241	1	1	2
24241	1	2	2
24242	1	1	2
24242	1	1	2
24242	1	2	2
24242	1	2	2
24242	1	1	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	3	3
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	1	2
24242	1	2	2
24242	1	1	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	1	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	1	2
24242	1	2	2
24242	1	2	3
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	3	28
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	3	3
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	10	11
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	1	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	3
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	3	3
24242	1	1	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	1	1
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	3	3
24242	1	2	2
24242	1	1	3
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	3	3
24242	1	1	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	1	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	4
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	1	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	3	3
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	3	3
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	1	2
24242	1	3	3
24242	1	2	2
24242	1	2	2
24242	1	1	3
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	3	3
24242	1	2	2
24242	1	3	3
24242	1	2	2
24242	1	3	1
24242	1	2	2
24242	1	2	2
24242	1	2	3
24242	1	2	2
24242	1	2	2
24242	1	3	3
24242	1	1	3
24242	1	3	3
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	3	3
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	3
24242	1	2	2
24242	1	1	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	1	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	1	3
24242	1	1	3
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	3
24242	1	1	3
24242	1	2	2
24242	1	2	3
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
24242	1	2	2
