horizon	model	pop_ll	pos_ll	recall	recall_weighted	precision	n_novel
1	persist	-9.2680	-0.0268	0.0000	0.0000	0.0000	10872
1	hmm	-22.0423	-0.0310	0.0006	0.0004	0.0120	10872
1	ctmc_nogrow	-10.2196	-0.0295	0.0072	0.0131	0.1560	10872
1	ctmc	-10.1726	-0.0291	0.0085	0.0195	0.1840	10872
1	lstm	-22.1369	-0.5068	0.0000	0.0000	0.0000	10872
2	persist	-11.6772	-0.0374	0.0000	0.0000	0.0000	11083
2	hmm	-25.9223	-0.0461	0.0002	0.0002	0.0040	11083
2	ctmc_nogrow	-12.6512	-0.0421	0.0054	0.0132	0.1200	11083
2	ctmc	-12.6188	-0.0408	0.0084	0.0364	0.1860	11083
2	lstm	-25.7910	-0.5188	0.0000	0.0000	0.0000	11083
3	persist	-13.7218	-0.0437	0.0000	0.0000	0.0000	10939
3	hmm	-27.1615	-0.0562	0.0001	0.0000	0.0020	10939
3	ctmc_nogrow	-14.5503	-0.0498	0.0022	0.0091	0.0480	10939
3	ctmc	-14.6243	-0.0477	0.0075	0.0528	0.1640	10939
3	lstm	-27.1045	-0.5277	0.0000	0.0000	0.0000	10939
4	persist	-16.4343	-0.0487	0.0000	0.0000	0.0000	7593
4	hmm	-27.5297	-0.0641	0.0000	0.0000	0.0000	7593
4	ctmc_nogrow	-17.3694	-0.0565	0.0018	0.0094	0.0280	7593
4	ctmc	-17.5539	-0.0539	0.0116	0.0549	0.1760	7593
4	lstm	-27.5008	-0.5316	0.0000	0.0000	0.0000	7593
5	persist	-19.3660	-0.0533	0.0000	0.0000	0.0000	5544
5	hmm	-27.6091	-0.0705	0.0000	0.0000	0.0000	5544
5	ctmc_nogrow	-19.9492	-0.0636	0.0023	0.0124	0.0260	5544
5	ctmc	-19.9275	-0.0595	0.0171	0.0603	0.1900	5544
5	lstm	-27.6067	-0.5357	0.0000	0.0000	0.0000	5544
6	persist	-22.1985	-0.0586	0.0000	0.0000	0.0000	3533
6	hmm	-27.6033	-0.0771	0.0000	0.0000	0.0000	3533
6	ctmc_nogrow	-23.1921	-0.0721	0.0023	0.0082	0.0160	3533
6	ctmc	-23.1102	-0.0683	0.0170	0.0500	0.1200	3533
6	lstm	-27.5989	-0.5340	0.0000	0.0000	0.0000	3533
